attack_type,mode,blend_ratio,detection_rate_mean,detection_rate_std
bulk_export,ctx,0.0,0.0,0.0
bulk_export,ctx,0.05,0.0,0.0
bulk_export,ctx,0.1,0.0,0.0
bulk_export,ctx,0.2,0.0,0.0
bulk_export,ctx,0.3,0.0,0.0
bulk_export,ctx,0.5,0.0,0.0
bulk_export,ctx,0.7,0.0,0.0
bulk_export,ctx,1.0,0.0,0.0
bulk_export,freq,0.0,0.0,0.0
bulk_export,freq,0.05,0.0,0.0
bulk_export,freq,0.1,0.0,0.0
bulk_export,freq,0.2,0.03333333333333333,0.07453559924999298
bulk_export,freq,0.3,0.1,0.09128709291752768
bulk_export,freq,0.5,0.06666666666666667,0.09128709291752768
bulk_export,freq,0.7,0.03333333333333333,0.07453559924999298
bulk_export,freq,1.0,0.0,0.0
bulk_export,fusion,0.0,0.0,0.0
bulk_export,fusion,0.05,0.0,0.0
bulk_export,fusion,0.1,0.0,0.0
bulk_export,fusion,0.2,0.0,0.0
bulk_export,fusion,0.3,0.0,0.0
bulk_export,fusion,0.5,0.0,0.0
bulk_export,fusion,0.7,0.0,0.0
bulk_export,fusion,1.0,0.0,0.0
bulk_export,scalars,0.0,0.0,0.0
bulk_export,scalars,0.05,0.06666666666666667,0.09128709291752768
bulk_export,scalars,0.1,0.8666666666666666,0.13944333775567927
bulk_export,scalars,0.2,0.8666666666666666,0.13944333775567927
bulk_export,scalars,0.3,0.9666666666666666,0.07453559924999298
bulk_export,scalars,0.5,1.0,0.0
bulk_export,scalars,0.7,1.0,0.0
bulk_export,scalars,1.0,1.0,0.0
bulk_export,seq,0.0,0.0,0.0
bulk_export,seq,0.05,0.0,0.0
bulk_export,seq,0.1,0.0,0.0
bulk_export,seq,0.2,0.0,0.0
bulk_export,seq,0.3,0.0,0.0
bulk_export,seq,0.5,0.0,0.0
bulk_export,seq,0.7,0.0,0.0
bulk_export,seq,1.0,0.0,0.0
bulk_export,trans,0.0,0.0,0.0
bulk_export,trans,0.05,0.0,0.0
bulk_export,trans,0.1,0.0,0.0
bulk_export,trans,0.2,0.0,0.0
bulk_export,trans,0.3,0.0,0.0
bulk_export,trans,0.5,0.0,0.0
bulk_export,trans,0.7,0.0,0.0
bulk_export,trans,1.0,0.0,0.0
project_scan,ctx,0.0,0.0,0.0
project_scan,ctx,0.05,0.0,0.0
project_scan,ctx,0.1,0.0,0.0
project_scan,ctx,0.2,0.0,0.0
project_scan,ctx,0.3,0.0,0.0
project_scan,ctx,0.5,0.0,0.0
project_scan,ctx,0.7,0.0,0.0
project_scan,ctx,1.0,0.0,0.0
project_scan,freq,0.0,0.0,0.0
project_scan,freq,0.05,0.0,0.0
project_scan,freq,0.1,0.0,0.0
project_scan,freq,0.2,0.13333333333333333,0.13944333775567924
project_scan,freq,0.3,0.1,0.14907119849998596
project_scan,freq,0.5,0.16666666666666666,0.16666666666666666
project_scan,freq,0.7,0.06666666666666667,0.09128709291752768
project_scan,freq,1.0,0.06666666666666667,0.09128709291752768
project_scan,fusion,0.0,0.0,0.0
project_scan,fusion,0.05,0.0,0.0
project_scan,fusion,0.1,0.0,0.0
project_scan,fusion,0.2,0.0,0.0
project_scan,fusion,0.3,0.0,0.0
project_scan,fusion,0.5,0.0,0.0
project_scan,fusion,0.7,0.0,0.0
project_scan,fusion,1.0,0.0,0.0
project_scan,scalars,0.0,0.0,0.0
project_scan,scalars,0.05,0.13333333333333333,0.2173067468400883
project_scan,scalars,0.1,0.9,0.149071198499986
project_scan,scalars,0.2,1.0,0.0
project_scan,scalars,0.3,0.9333333333333333,0.09128709291752765
project_scan,scalars,0.5,0.9666666666666666,0.07453559924999298
project_scan,scalars,0.7,1.0,0.0
project_scan,scalars,1.0,1.0,0.0
project_scan,seq,0.0,0.0,0.0
project_scan,seq,0.05,0.0,0.0
project_scan,seq,0.1,0.0,0.0
project_scan,seq,0.2,0.0,0.0
project_scan,seq,0.3,0.0,0.0
project_scan,seq,0.5,0.0,0.0
project_scan,seq,0.7,0.0,0.0
project_scan,seq,1.0,0.0,0.0
project_scan,trans,0.0,0.0,0.0
project_scan,trans,0.05,0.0,0.0
project_scan,trans,0.1,0.0,0.0
project_scan,trans,0.2,0.0,0.0
project_scan,trans,0.3,0.0,0.0
project_scan,trans,0.5,0.0,0.0
project_scan,trans,0.7,0.0,0.0
project_scan,trans,1.0,0.0,0.0
source_copy,ctx,0.0,0.0,0.0
source_copy,ctx,0.05,0.0,0.0
source_copy,ctx,0.1,0.0,0.0
source_copy,ctx,0.2,0.0,0.0
source_copy,ctx,0.3,0.0,0.0
source_copy,ctx,0.5,0.0,0.0
source_copy,ctx,0.7,0.0,0.0
source_copy,ctx,1.0,0.0,0.0
source_copy,freq,0.0,0.0,0.0
source_copy,freq,0.05,0.0,0.0
source_copy,freq,0.1,0.0,0.0
source_copy,freq,0.2,0.1,0.09128709291752768
source_copy,freq,0.3,0.26666666666666666,0.22360679774997896
source_copy,freq,0.5,0.1,0.14907119849998596
source_copy,freq,0.7,0.03333333333333333,0.07453559924999298
source_copy,freq,1.0,0.03333333333333333,0.07453559924999298
source_copy,fusion,0.0,0.0,0.0
source_copy,fusion,0.05,0.0,0.0
source_copy,fusion,0.1,0.0,0.0
source_copy,fusion,0.2,0.0,0.0
source_copy,fusion,0.3,0.0,0.0
source_copy,fusion,0.5,0.0,0.0
source_copy,fusion,0.7,0.0,0.0
source_copy,fusion,1.0,0.0,0.0
source_copy,scalars,0.0,0.0,0.0
source_copy,scalars,0.05,0.06666666666666667,0.09128709291752768
source_copy,scalars,0.1,0.8333333333333334,0.11785113019775792
source_copy,scalars,0.2,0.9333333333333333,0.09128709291752765
source_copy,scalars,0.3,0.9,0.14907119849998599
source_copy,scalars,0.5,0.7333333333333334,0.14907119849998604
source_copy,scalars,0.7,0.7333333333333334,0.149071198499986
source_copy,scalars,1.0,0.0,0.0
source_copy,seq,0.0,0.0,0.0
source_copy,seq,0.05,0.0,0.0
source_copy,seq,0.1,0.0,0.0
source_copy,seq,0.2,0.0,0.0
source_copy,seq,0.3,0.0,0.0
source_copy,seq,0.5,0.0,0.0
source_copy,seq,0.7,0.0,0.0
source_copy,seq,1.0,0.0,0.0
source_copy,trans,0.0,0.0,0.0
source_copy,trans,0.05,0.0,0.0
source_copy,trans,0.1,0.0,0.0
source_copy,trans,0.2,0.0,0.0
source_copy,trans,0.3,0.0,0.0
source_copy,trans,0.5,0.0,0.0
source_copy,trans,0.7,0.0,0.0
source_copy,trans,1.0,0.0,0.0
