mode,train_fraction,acc_mean,acc_std,fpr_mean,fpr_std
ctx,0.1,1.0,0.0,0.0,0.0
ctx,0.2,1.0,0.0,0.0,0.0
ctx,0.3,1.0,0.0,0.0,0.0
ctx,0.5,1.0,0.0,0.0,0.0
ctx,0.7,1.0,0.0,0.0,0.0
ctx,1.0,1.0,0.0,0.0,0.0
freq,0.1,1.0,0.0,0.0,0.0
freq,0.2,1.0,0.0,0.0,0.0
freq,0.3,1.0,0.0,0.0,0.0
freq,0.5,1.0,0.0,0.0,0.0
freq,0.7,1.0,0.0,0.0,0.0
freq,1.0,1.0,0.0,0.0,0.0
fusion,0.1,1.0,0.0,0.0,0.0
fusion,0.2,1.0,0.0,0.0,0.0
fusion,0.3,1.0,0.0,0.0,0.0
fusion,0.5,1.0,0.0,0.0,0.0
fusion,0.7,1.0,0.0,0.0,0.0
fusion,1.0,1.0,0.0,0.0,0.0
scalars,0.1,1.0,0.0,0.0,0.0
scalars,0.2,1.0,0.0,0.0,0.0
scalars,0.3,1.0,0.0,0.0,0.0
scalars,0.5,1.0,0.0,0.0,0.0
scalars,0.7,1.0,0.0,0.0,0.0
scalars,1.0,1.0,0.0,0.0,0.0
seq,0.1,1.0,0.0,0.0,0.0
seq,0.2,1.0,0.0,0.0,0.0
seq,0.3,1.0,0.0,0.0,0.0
seq,0.5,1.0,0.0,0.0,0.0
seq,0.7,1.0,0.0,0.0,0.0
seq,1.0,1.0,0.0,0.0,0.0
trans,0.1,1.0,0.0,0.0,0.0
trans,0.2,1.0,0.0,0.0,0.0
trans,0.3,1.0,0.0,0.0,0.0
trans,0.5,1.0,0.0,0.0,0.0
trans,0.7,1.0,0.0,0.0,0.0
trans,1.0,1.0,0.0,0.0,0.0
