run,mode,session_accuracy,macro_f1,recall_bulk_export,recall_normal,recall_project_scan,recall_source_copy
1,scalars,1.0,1.0,1.0,1.0,1.0,1.0
1,freq,1.0,1.0,1.0,1.0,1.0,1.0
1,seq,1.0,1.0,1.0,1.0,1.0,1.0
1,trans,1.0,1.0,1.0,1.0,1.0,1.0
1,ctx,1.0,1.0,1.0,1.0,1.0,1.0
1,fusion,1.0,1.0,1.0,1.0,1.0,1.0
2,scalars,1.0,1.0,1.0,1.0,1.0,1.0
2,freq,1.0,1.0,1.0,1.0,1.0,1.0
2,seq,1.0,1.0,1.0,1.0,1.0,1.0
2,trans,1.0,1.0,1.0,1.0,1.0,1.0
2,ctx,1.0,1.0,1.0,1.0,1.0,1.0
2,fusion,1.0,1.0,1.0,1.0,1.0,1.0
3,scalars,1.0,1.0,1.0,1.0,1.0,1.0
3,freq,1.0,1.0,1.0,1.0,1.0,1.0
3,seq,1.0,1.0,1.0,1.0,1.0,1.0
3,trans,1.0,1.0,1.0,1.0,1.0,1.0
3,ctx,1.0,1.0,1.0,1.0,1.0,1.0
3,fusion,1.0,1.0,1.0,1.0,1.0,1.0
4,scalars,1.0,1.0,1.0,1.0,1.0,1.0
4,freq,1.0,1.0,1.0,1.0,1.0,1.0
4,seq,1.0,1.0,1.0,1.0,1.0,1.0
4,trans,1.0,1.0,1.0,1.0,1.0,1.0
4,ctx,1.0,1.0,1.0,1.0,1.0,1.0
4,fusion,1.0,1.0,1.0,1.0,1.0,1.0
5,scalars,1.0,1.0,1.0,1.0,1.0,1.0
5,freq,1.0,1.0,1.0,1.0,1.0,1.0
5,seq,1.0,1.0,1.0,1.0,1.0,1.0
5,trans,1.0,1.0,1.0,1.0,1.0,1.0
5,ctx,1.0,1.0,1.0,1.0,1.0,1.0
5,fusion,1.0,1.0,1.0,1.0,1.0,1.0
6,scalars,1.0,1.0,1.0,1.0,1.0,1.0
6,freq,1.0,1.0,1.0,1.0,1.0,1.0
6,seq,1.0,1.0,1.0,1.0,1.0,1.0
6,trans,1.0,1.0,1.0,1.0,1.0,1.0
6,ctx,1.0,1.0,1.0,1.0,1.0,1.0
6,fusion,1.0,1.0,1.0,1.0,1.0,1.0
7,scalars,1.0,1.0,1.0,1.0,1.0,1.0
7,freq,1.0,1.0,1.0,1.0,1.0,1.0
7,seq,1.0,1.0,1.0,1.0,1.0,1.0
7,trans,1.0,1.0,1.0,1.0,1.0,1.0
7,ctx,1.0,1.0,1.0,1.0,1.0,1.0
7,fusion,1.0,1.0,1.0,1.0,1.0,1.0
8,scalars,1.0,1.0,1.0,1.0,1.0,1.0
8,freq,1.0,1.0,1.0,1.0,1.0,1.0
8,seq,1.0,1.0,1.0,1.0,1.0,1.0
8,trans,1.0,1.0,1.0,1.0,1.0,1.0
8,ctx,1.0,1.0,1.0,1.0,1.0,1.0
8,fusion,1.0,1.0,1.0,1.0,1.0,1.0
9,scalars,1.0,1.0,1.0,1.0,1.0,1.0
9,freq,1.0,1.0,1.0,1.0,1.0,1.0
9,seq,1.0,1.0,1.0,1.0,1.0,1.0
9,trans,1.0,1.0,1.0,1.0,1.0,1.0
9,ctx,1.0,1.0,1.0,1.0,1.0,1.0
9,fusion,1.0,1.0,1.0,1.0,1.0,1.0
10,scalars,0.75,0.6666666666666666,1.0,1.0,1.0,0.0
10,freq,1.0,1.0,1.0,1.0,1.0,1.0
10,seq,1.0,1.0,1.0,1.0,1.0,1.0
10,trans,1.0,1.0,1.0,1.0,1.0,1.0
10,ctx,1.0,1.0,1.0,1.0,1.0,1.0
10,fusion,1.0,1.0,1.0,1.0,1.0,1.0
11,scalars,1.0,1.0,1.0,1.0,1.0,1.0
11,freq,1.0,1.0,1.0,1.0,1.0,1.0
11,seq,1.0,1.0,1.0,1.0,1.0,1.0
11,trans,1.0,1.0,1.0,1.0,1.0,1.0
11,ctx,1.0,1.0,1.0,1.0,1.0,1.0
11,fusion,1.0,1.0,1.0,1.0,1.0,1.0
12,scalars,0.75,0.6666666666666666,1.0,1.0,1.0,0.0
12,freq,1.0,1.0,1.0,1.0,1.0,1.0
12,seq,1.0,1.0,1.0,1.0,1.0,1.0
12,trans,1.0,1.0,1.0,1.0,1.0,1.0
12,ctx,1.0,1.0,1.0,1.0,1.0,1.0
12,fusion,1.0,1.0,1.0,1.0,1.0,1.0
13,scalars,1.0,1.0,1.0,1.0,1.0,1.0
13,freq,1.0,1.0,1.0,1.0,1.0,1.0
13,seq,1.0,1.0,1.0,1.0,1.0,1.0
13,trans,1.0,1.0,1.0,1.0,1.0,1.0
13,ctx,1.0,1.0,1.0,1.0,1.0,1.0
13,fusion,1.0,1.0,1.0,1.0,1.0,1.0
14,scalars,1.0,1.0,1.0,1.0,1.0,1.0
14,freq,1.0,1.0,1.0,1.0,1.0,1.0
14,seq,1.0,1.0,1.0,1.0,1.0,1.0
14,trans,1.0,1.0,1.0,1.0,1.0,1.0
14,ctx,1.0,1.0,1.0,1.0,1.0,1.0
14,fusion,1.0,1.0,1.0,1.0,1.0,1.0
15,scalars,0.75,0.6666666666666666,0.0,1.0,1.0,1.0
15,freq,1.0,1.0,1.0,1.0,1.0,1.0
15,seq,1.0,1.0,1.0,1.0,1.0,1.0
15,trans,1.0,1.0,1.0,1.0,1.0,1.0
15,ctx,1.0,1.0,1.0,1.0,1.0,1.0
15,fusion,1.0,1.0,1.0,1.0,1.0,1.0
16,scalars,1.0,1.0,1.0,1.0,1.0,1.0
16,freq,1.0,1.0,1.0,1.0,1.0,1.0
16,seq,1.0,1.0,1.0,1.0,1.0,1.0
16,trans,1.0,1.0,1.0,1.0,1.0,1.0
16,ctx,1.0,1.0,1.0,1.0,1.0,1.0
16,fusion,1.0,1.0,1.0,1.0,1.0,1.0
17,scalars,1.0,1.0,1.0,1.0,1.0,1.0
17,freq,1.0,1.0,1.0,1.0,1.0,1.0
17,seq,1.0,1.0,1.0,1.0,1.0,1.0
17,trans,1.0,1.0,1.0,1.0,1.0,1.0
17,ctx,1.0,1.0,1.0,1.0,1.0,1.0
17,fusion,1.0,1.0,1.0,1.0,1.0,1.0
18,scalars,1.0,1.0,1.0,1.0,1.0,1.0
18,freq,1.0,1.0,1.0,1.0,1.0,1.0
18,seq,1.0,1.0,1.0,1.0,1.0,1.0
18,trans,1.0,1.0,1.0,1.0,1.0,1.0
18,ctx,1.0,1.0,1.0,1.0,1.0,1.0
18,fusion,1.0,1.0,1.0,1.0,1.0,1.0
19,scalars,1.0,1.0,1.0,1.0,1.0,1.0
19,freq,1.0,1.0,1.0,1.0,1.0,1.0
19,seq,1.0,1.0,1.0,1.0,1.0,1.0
19,trans,1.0,1.0,1.0,1.0,1.0,1.0
19,ctx,1.0,1.0,1.0,1.0,1.0,1.0
19,fusion,1.0,1.0,1.0,1.0,1.0,1.0
20,scalars,1.0,1.0,1.0,1.0,1.0,1.0
20,freq,1.0,1.0,1.0,1.0,1.0,1.0
20,seq,1.0,1.0,1.0,1.0,1.0,1.0
20,trans,1.0,1.0,1.0,1.0,1.0,1.0
20,ctx,1.0,1.0,1.0,1.0,1.0,1.0
20,fusion,1.0,1.0,1.0,1.0,1.0,1.0
