n_per_class,config,class,precision,recall,f1
2,fusion_full,bulk_export,1.0,1.0,1.0
2,fusion_full,normal,1.0,1.0,1.0
2,fusion_full,project_scan,1.0,1.0,1.0
2,fusion_full,source_copy,1.0,1.0,1.0
2,fusion_minus_ctx,bulk_export,1.0,0.9333333333333333,0.96
2,fusion_minus_ctx,normal,1.0,1.0,1.0
2,fusion_minus_ctx,project_scan,0.95,1.0,0.9714285714285713
2,fusion_minus_ctx,source_copy,1.0,1.0,1.0
2,fusion_minus_freq,bulk_export,1.0,0.9666666666666666,0.9818181818181818
2,fusion_minus_freq,normal,1.0,1.0,1.0
2,fusion_minus_freq,project_scan,0.9714285714285713,1.0,0.9846153846153847
2,fusion_minus_freq,source_copy,1.0,1.0,1.0
2,fusion_minus_scalars,bulk_export,1.0,1.0,1.0
2,fusion_minus_scalars,normal,1.0,1.0,1.0
2,fusion_minus_scalars,project_scan,1.0,1.0,1.0
2,fusion_minus_scalars,source_copy,1.0,1.0,1.0
2,fusion_minus_seq,bulk_export,1.0,1.0,1.0
2,fusion_minus_seq,normal,1.0,1.0,1.0
2,fusion_minus_seq,project_scan,1.0,1.0,1.0
2,fusion_minus_seq,source_copy,1.0,1.0,1.0
2,fusion_minus_trans,bulk_export,1.0,1.0,1.0
2,fusion_minus_trans,normal,1.0,1.0,1.0
2,fusion_minus_trans,project_scan,1.0,1.0,1.0
2,fusion_minus_trans,source_copy,1.0,1.0,1.0
3,fusion_full,bulk_export,1.0,1.0,1.0
3,fusion_full,normal,1.0,1.0,1.0
3,fusion_full,project_scan,1.0,1.0,1.0
3,fusion_full,source_copy,1.0,1.0,1.0
3,fusion_minus_ctx,bulk_export,1.0,1.0,1.0
3,fusion_minus_ctx,normal,1.0,1.0,1.0
3,fusion_minus_ctx,project_scan,1.0,1.0,1.0
3,fusion_minus_ctx,source_copy,1.0,1.0,1.0
3,fusion_minus_freq,bulk_export,1.0,1.0,1.0
3,fusion_minus_freq,normal,1.0,1.0,1.0
3,fusion_minus_freq,project_scan,1.0,1.0,1.0
3,fusion_minus_freq,source_copy,1.0,1.0,1.0
3,fusion_minus_scalars,bulk_export,1.0,1.0,1.0
3,fusion_minus_scalars,normal,1.0,1.0,1.0
3,fusion_minus_scalars,project_scan,1.0,1.0,1.0
3,fusion_minus_scalars,source_copy,1.0,1.0,1.0
3,fusion_minus_seq,bulk_export,1.0,1.0,1.0
3,fusion_minus_seq,normal,1.0,1.0,1.0
3,fusion_minus_seq,project_scan,1.0,1.0,1.0
3,fusion_minus_seq,source_copy,1.0,1.0,1.0
3,fusion_minus_trans,bulk_export,1.0,1.0,1.0
3,fusion_minus_trans,normal,1.0,1.0,1.0
3,fusion_minus_trans,project_scan,1.0,1.0,1.0
3,fusion_minus_trans,source_copy,1.0,1.0,1.0
5,fusion_full,bulk_export,1.0,1.0,1.0
5,fusion_full,normal,1.0,1.0,1.0
5,fusion_full,project_scan,1.0,1.0,1.0
5,fusion_full,source_copy,1.0,1.0,1.0
5,fusion_minus_ctx,bulk_export,1.0,1.0,1.0
5,fusion_minus_ctx,normal,1.0,1.0,1.0
5,fusion_minus_ctx,project_scan,1.0,1.0,1.0
5,fusion_minus_ctx,source_copy,1.0,1.0,1.0
5,fusion_minus_freq,bulk_export,1.0,1.0,1.0
5,fusion_minus_freq,normal,1.0,1.0,1.0
5,fusion_minus_freq,project_scan,1.0,1.0,1.0
5,fusion_minus_freq,source_copy,1.0,1.0,1.0
5,fusion_minus_scalars,bulk_export,1.0,1.0,1.0
5,fusion_minus_scalars,normal,1.0,1.0,1.0
5,fusion_minus_scalars,project_scan,1.0,1.0,1.0
5,fusion_minus_scalars,source_copy,1.0,1.0,1.0
5,fusion_minus_seq,bulk_export,1.0,1.0,1.0
5,fusion_minus_seq,normal,1.0,1.0,1.0
5,fusion_minus_seq,project_scan,1.0,1.0,1.0
5,fusion_minus_seq,source_copy,1.0,1.0,1.0
5,fusion_minus_trans,bulk_export,1.0,1.0,1.0
5,fusion_minus_trans,normal,1.0,1.0,1.0
5,fusion_minus_trans,project_scan,1.0,1.0,1.0
5,fusion_minus_trans,source_copy,1.0,1.0,1.0
10,fusion_full,bulk_export,1.0,1.0,1.0
10,fusion_full,normal,1.0,1.0,1.0
10,fusion_full,project_scan,1.0,1.0,1.0
10,fusion_full,source_copy,1.0,1.0,1.0
10,fusion_minus_ctx,bulk_export,1.0,1.0,1.0
10,fusion_minus_ctx,normal,1.0,1.0,1.0
10,fusion_minus_ctx,project_scan,1.0,1.0,1.0
10,fusion_minus_ctx,source_copy,1.0,1.0,1.0
10,fusion_minus_freq,bulk_export,1.0,1.0,1.0
10,fusion_minus_freq,normal,1.0,1.0,1.0
10,fusion_minus_freq,project_scan,1.0,1.0,1.0
10,fusion_minus_freq,source_copy,1.0,1.0,1.0
10,fusion_minus_scalars,bulk_export,1.0,1.0,1.0
10,fusion_minus_scalars,normal,1.0,1.0,1.0
10,fusion_minus_scalars,project_scan,1.0,1.0,1.0
10,fusion_minus_scalars,source_copy,1.0,1.0,1.0
10,fusion_minus_seq,bulk_export,1.0,1.0,1.0
10,fusion_minus_seq,normal,1.0,1.0,1.0
10,fusion_minus_seq,project_scan,1.0,1.0,1.0
10,fusion_minus_seq,source_copy,1.0,1.0,1.0
10,fusion_minus_trans,bulk_export,1.0,1.0,1.0
10,fusion_minus_trans,normal,1.0,1.0,1.0
10,fusion_minus_trans,project_scan,1.0,1.0,1.0
10,fusion_minus_trans,source_copy,1.0,1.0,1.0
