n_per_class,config,acc_mean,acc_std
2,fusion_full,1.0,0.0
2,fusion_minus_ctx,0.9833333333333334,0.037267799624996496
2,fusion_minus_freq,0.9916666666666666,0.018633899812498238
2,fusion_minus_scalars,1.0,0.0
2,fusion_minus_seq,1.0,0.0
2,fusion_minus_trans,1.0,0.0
3,fusion_full,1.0,0.0
3,fusion_minus_ctx,1.0,0.0
3,fusion_minus_freq,1.0,0.0
3,fusion_minus_scalars,1.0,0.0
3,fusion_minus_seq,1.0,0.0
3,fusion_minus_trans,1.0,0.0
5,fusion_full,1.0,0.0
5,fusion_minus_ctx,1.0,0.0
5,fusion_minus_freq,1.0,0.0
5,fusion_minus_scalars,1.0,0.0
5,fusion_minus_seq,1.0,0.0
5,fusion_minus_trans,1.0,0.0
10,fusion_full,1.0,0.0
10,fusion_minus_ctx,1.0,0.0
10,fusion_minus_freq,1.0,0.0
10,fusion_minus_scalars,1.0,0.0
10,fusion_minus_seq,1.0,0.0
10,fusion_minus_trans,1.0,0.0
