mode,train_fraction,acc_mean,acc_std,f1_mean,f1_std,frac_std
ctx,0.1,0.9166666666666666,0.05103103630798287,0.911431068931069,0.05947437340456125,0.05947437340456125
ctx,0.2,0.9666666666666666,0.07453559924999296,0.9625,0.08385254915624211,0.08385254915624211
ctx,0.3,0.9833333333333334,0.0228217732293819,0.9832167832167833,0.022981366049167756,0.022981366049167756
ctx,0.5,0.975,0.022821773229381916,0.9748251748251748,0.02298136604916777,0.02298136604916777
ctx,0.7,0.975,0.022821773229381906,0.9748251748251748,0.022981366049167756,0.022981366049167756
ctx,1.0,1.0,0.0,1.0,,0.0
freq,0.1,0.9833333333333334,0.022821773229381913,0.9832167832167833,0.022981366049167756,0.022981366049167756
freq,0.2,0.9916666666666666,0.018633899812498227,0.9916083916083916,0.018764206804193988,0.018764206804193988
freq,0.3,0.95,0.06846531968814576,0.9457167832167833,0.07736902876512844,0.07736902876512844
freq,0.5,0.9916666666666666,0.018633899812498238,0.9916083916083916,0.018764206804194012,0.018764206804194012
freq,0.7,1.0,0.0,1.0,0.0,0.0
freq,1.0,1.0,0.0,1.0,,0.0
fusion,0.1,1.0,0.0,1.0,0.0,0.0
fusion,0.2,1.0,0.0,1.0,0.0,0.0
fusion,0.3,1.0,0.0,1.0,0.0,0.0
fusion,0.5,1.0,0.0,1.0,0.0,0.0
fusion,0.7,1.0,0.0,1.0,0.0,0.0
fusion,1.0,1.0,0.0,1.0,,0.0
scalars,0.1,0.8166666666666667,0.037267799624996496,0.8006983702571938,0.0475621492511498,0.0475621492511498
scalars,0.2,0.8666666666666666,0.06846531968814577,0.8495492742551566,0.09281198749724975,0.09281198749724975
scalars,0.3,0.875,0.051031036307982856,0.8653962703962703,0.05983710892421864,0.05983710892421864
scalars,0.5,0.925,0.03486083443891984,0.9262037962037961,0.03365374375145448,0.03365374375145448
scalars,0.7,0.9333333333333333,0.03726779962499652,0.9340459540459541,0.035993449371743404,0.035993449371743404
scalars,1.0,0.9166666666666666,0.0,0.9188311688311689,,0.0
seq,0.1,1.0,0.0,1.0,0.0,0.0
seq,0.2,1.0,0.0,1.0,0.0,0.0
seq,0.3,1.0,0.0,1.0,0.0,0.0
seq,0.5,1.0,0.0,1.0,0.0,0.0
seq,0.7,1.0,0.0,1.0,0.0,0.0
seq,1.0,1.0,0.0,1.0,,0.0
trans,0.1,0.9916666666666666,0.018633899812498238,0.9916083916083916,0.018764206804194005,0.018764206804194005
trans,0.2,1.0,0.0,1.0,0.0,0.0
trans,0.3,0.9916666666666666,0.018633899812498227,0.9916083916083916,0.018764206804193988,0.018764206804193988
trans,0.5,1.0,0.0,1.0,0.0,0.0
trans,0.7,1.0,0.0,1.0,0.0,0.0
trans,1.0,1.0,0.0,1.0,,0.0
