mode,noise_level,acc_mean,acc_std,f1_mean,f1_std
ctx,0.0,1.0,0.0,1.0,0.0
ctx,0.05,1.0,0.0,1.0,0.0
ctx,0.1,1.0,0.0,1.0,0.0
ctx,0.2,1.0,0.0,1.0,0.0
ctx,0.3,1.0,0.0,1.0,0.0
ctx,0.5,1.0,0.0,1.0,0.0
freq,0.0,1.0,0.0,1.0,0.0
freq,0.05,0.25,0.0,0.1,0.0
freq,0.1,0.3,0.05432668671002206,0.1769594964422551,0.07915079715713706
freq,0.2,0.5,0.0,0.375,0.0
freq,0.3,0.25,0.0,0.1,0.0
freq,0.5,0.25,0.0,0.1,0.0
fusion,0.0,1.0,0.0,1.0,0.0
fusion,0.05,0.5666666666666667,0.022821773229381965,0.4875635234330886,0.03258964680807842
fusion,0.1,0.5,0.0,0.375,0.0
fusion,0.2,0.25833333333333336,0.018633899812498255,0.1149753694581281,0.03348594409654857
fusion,0.3,0.25,0.0,0.1,0.0
fusion,0.5,0.25,0.0,0.1,0.0
scalars,0.0,0.9166666666666666,0.0,0.9188311688311689,0.0
scalars,0.05,0.25,0.0,0.1,0.0
scalars,0.1,0.25,0.0,0.1,0.0
scalars,0.2,0.5,0.0,0.375,0.0
scalars,0.3,0.25,0.0,0.1,0.0
scalars,0.5,0.25,0.0,0.1,0.0
seq,0.0,1.0,0.0,1.0,0.0
seq,0.05,0.7666666666666666,0.022821773229381875,0.6929519500107736,0.04497066245335848
seq,0.1,0.5916666666666667,0.018633899812498238,0.520995670995671,0.021537884198861615
seq,0.2,0.2833333333333333,0.03486083443891981,0.1563793103448276,0.05652805949140967
seq,0.3,0.25,0.0,0.1,0.0
seq,0.5,0.25,0.0,0.1,0.0
trans,0.0,1.0,0.0,1.0,0.0
trans,0.05,0.3,0.04564354645876383,0.1804816639299398,0.06332075865682542
trans,0.1,0.25,0.0,0.1,0.0
trans,0.2,0.25,0.0,0.1,0.0
trans,0.3,0.25,0.0,0.1,0.0
trans,0.5,0.25,0.0,0.1,0.0
