mode,noise_level,acc_mean,acc_std,fpr_mean,fpr_std
ctx,0.0,1.0,0.0,0.0,0.0
ctx,0.05,1.0,0.0,0.0,0.0
ctx,0.1,1.0,0.0,0.0,0.0
ctx,0.2,1.0,0.0,0.0,0.0
ctx,0.3,1.0,0.0,0.0,0.0
ctx,0.5,1.0,0.0,0.0,0.0
freq,0.0,1.0,0.0,0.0,0.0
freq,0.05,1.0,0.0,0.0,0.0
freq,0.1,0.9416666666666668,0.04750730937913077,0.2333333333333333,0.190029237516523
freq,0.2,0.75,0.0,1.0,0.0
freq,0.3,0.75,0.0,1.0,0.0
freq,0.5,0.75,0.0,1.0,0.0
fusion,0.0,1.0,0.0,0.0,0.0
fusion,0.05,1.0,0.0,0.0,0.0
fusion,0.1,0.9916666666666666,0.018633899812498238,0.0,0.0
fusion,0.2,1.0,0.0,0.0,0.0
fusion,0.3,1.0,0.0,0.0,0.0
fusion,0.5,0.725,0.047507309379130745,0.0,0.0
scalars,0.0,1.0,0.0,0.0,0.0
scalars,0.05,0.25,0.0,0.0,0.0
scalars,0.1,0.7333333333333334,0.03726779962499644,0.0,0.0
scalars,0.2,1.0,0.0,0.0,0.0
scalars,0.3,0.75,0.0,1.0,0.0
scalars,0.5,0.75,0.0,1.0,0.0
seq,0.0,1.0,0.0,0.0,0.0
seq,0.05,1.0,0.0,0.0,0.0
seq,0.1,0.9833333333333334,0.022821773229381906,0.0,0.0
seq,0.2,0.9833333333333334,0.0228217732293819,0.0,0.0
seq,0.3,0.925,0.0994778032192777,0.0,0.0
seq,0.5,0.25,0.0,0.0,0.0
trans,0.0,1.0,0.0,0.0,0.0
trans,0.05,0.975,0.037267799624996524,0.0,0.0
trans,0.1,0.775,0.08640183897219879,0.0,0.0
trans,0.2,0.5083333333333333,0.08014743359029725,0.0,0.0
trans,0.3,0.625,0.08333333333333338,0.0,0.0
trans,0.5,0.9166666666666666,0.06588078458684123,0.0,0.0
